id,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
200,19/02/2011,Dortmund,St Pauli,2,0,H,1,0,H,25,3,12,1,16,14,8,1,1,2,0,0
201,19/02/2011,Freiburg,Wolfsburg,2,1,H,1,1,D,14,18,5,8,14,12,7,9,3,0,0,0
202,19/02/2011,Hamburg,Werder Bremen,4,0,H,1,0,H,14,8,6,2,21,19,6,3,3,3,0,0
203,19/02/2011,Hannover,Kaiserslautern,3,0,H,2,0,H,12,10,5,4,12,14,7,6,1,1,0,0
204,19/02/2011,Hoffenheim,FC Koln,1,1,D,0,0,D,17,8,4,2,20,21,4,1,2,5,0,0
205,19/02/2011,Mainz,Bayern Munich,1,3,A,0,1,A,18,19,7,9,18,13,4,11,2,1,0,0
206,20/02/2011,Leverkusen,Stuttgart,4,2,H,2,1,H,18,11,7,4,11,12,6,4,1,2,0,0
207,20/02/2011,M'gladbach,Schalke 04,2,1,H,2,1,H,13,4,7,1,19,17,3,0,0,0,0,0
208,25/02/2011,Wolfsburg,M'gladbach,2,1,H,2,0,H,15,14,6,6,17,25,5,3,4,3,0,0
209,26/02/2011,Bayern Munich,Dortmund,1,3,A,1,2,A,14,16,4,5,10,11,10,4,2,3,0,0
210,26/02/2011,FC Koln,Freiburg,1,0,H,0,0,D,22,12,6,1,12,20,8,5,2,3,0,0
211,26/02/2011,Hoffenheim,Mainz,1,2,A,0,1,A,13,10,4,7,18,23,6,4,1,0,0,0
212,26/02/2011,Kaiserslautern,Hamburg,1,1,D,1,0,H,16,16,8,5,17,10,4,3,3,0,0,0
213,26/02/2011,Schalke 04,Nurnberg,1,1,D,0,1,A,16,16,8,4,13,17,10,3,1,3,0,0
214,26/02/2011,St Pauli,Hannover,0,1,A,0,0,D,7,8,1,5,20,21,3,5,0,2,0,0
215,27/02/2011,Ein Frankfurt,Stuttgart,0,2,A,0,0,D,30,11,5,6,19,13,13,3,2,1,0,1
216,27/02/2011,Werder Bremen,Leverkusen,2,2,D,0,1,A,9,17,6,6,19,11,2,6,2,1,0,1
217,04/03/2011,Dortmund,FC Koln,1,0,H,1,0,H,24,7,8,1,19,18,10,3,0,3,0,0
218,05/03/2011,Ein Frankfurt,Kaiserslautern,0,0,D,0,0,D,6,9,0,2,10,22,2,5,4,3,0,0
219,05/03/2011,Hannover,Bayern Munich,3,1,H,1,0,H,13,12,7,6,24,9,2,2,3,1,0,1
220,05/03/2011,Leverkusen,Wolfsburg,3,0,H,3,0,H,14,9,9,1,19,15,7,2,0,4,0,0
221,05/03/2011,M'gladbach,Hoffenheim,2,0,H,0,0,D,13,9,6,0,17,30,8,4,1,4,0,0
222,05/03/2011,Nurnberg,St Pauli,5,0,H,3,0,H,20,4,7,1,17,16,4,1,1,3,0,0
223,05/03/2011,Stuttgart,Schalke 04,1,0,H,1,0,H,22,14,5,3,12,18,5,5,1,2,0,1
224,06/03/2011,Freiburg,Werder Bremen,1,3,A,0,1,A,9,16,1,7,19,21,3,4,3,6,0,0
225,06/03/2011,Hamburg,Mainz,2,4,A,1,0,H,8,12,4,6,17,15,4,5,2,2,0,0
226,11/03/2011,FC Koln,Hannover,4,0,H,1,0,H,12,14,7,4,15,20,2,6,0,3,0,0
